Designator,Footprint,Quantity,Value,LCSC Part #
"SW1, SW2",SW_Push_1P1T_NO_CK_KMR2,2,SW_Push,C221679
C1,0603,1,4.7uF,C162274
"C10, C9",0402,2,0.2uF,C2180912
"C11, C32, C7, C8",0402,4,1uF,C5596482
"C12, C13, C24",0805,3,10uF,C2932476
"C14, C27, C28, C30, C31",C_Elec_8x10.2,5,100uF,C445063
"C15, C16, C17",0805,3,47uF,C124129
"C18, C19, C20, C21",0402,4,10nF,C15195
"C2, C3, C4, C5, C6, C25",0402,5,100nF,C22333701
"C22, C23",0805,2,1uF,C28323
C26,0402,1,100pF,C281751
C29,0402,1,0.47uF,C92361
C33,0402,1,2.2uF,C170151
D1,D_SMB,1,B340B-13-F,C154551
"J1, J2, J3, J4",PinSocket_1x08_P2.54mm_Vertical,4,Conn_01x08_Socket,C27438
J5,PinHeader_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,C2977589
"J6, J9",JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,2,Conn_01x04,C161871
J7,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,C40877
L1,IND_NRS5030T100MMGJ_TAY,1,4.7uH,C2880386
L3,IND-SMD_4P-L10.5-W9.5-TL,1,5.2uH,C171582
"Q3, Q4",SOIC8_3P9X4P9_OSI,2,FDS8949,C10874
R1,0603,1,100k,C844888
"R10, R11, R12, R9",0402,4,2.2k,C82680
"R13, R14, R2",0402,3,10k,C7501196
R15,0603,1,10k,C327830
R16,0603,1,50k,C2073717
R17,0603,1,1k,C2653986
R18,0402,1,1k,C4162025
R19,0402,1,49.9k,C4043528
R20,0603,1,24.9k,C2930080
R3,0603,1,75k,C42783
R4,0603,1,4.07k,C861435
R5,0402,1,bridge,
"R6, R8",0402,2,5.1k,C6221081
R7,0402,1,leave open,
U1,QFN16_3X3_SEM,1,TS30013-M033QFNR,C2071049
U2,QFN-24-1EP_4x4mm_P0.5mm_EP2.75x2.75mm,1,CYPD3177-24LQ,C2959321
U4,LQFP-48_7x7mm_P0.5mm,1,STM32F103CB,C8304
U5,WQFN-30_L6.0-W4.0-P0.50-TL-EP_LM76005RNPR,1,LM76005RNPR,C2866241
USBC1,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948
Y1,Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm,1,16 MHz,C596923
